Delivery_ID,Driver_ID,Timestamp,Order_Value_INR,Distance_Variance_Pct,Flag_Distance_Tampering,Flag_High_Value_Leakage,Flag_GPS_Spoofing,Total_Risk_Score,Risk_Category
DEL-10824,DRV-013,02-09-2026 11:27,17478,1.11,0,1,1,5,Critical Risk (Spoofing/High Value)
DEL-10558,DRV-027,02-09-2026 08:50,18245,4.83,0,1,1,5,Critical Risk (Spoofing/High Value)
DEL-10023,DRV-035,02-09-2026 08:15,21503,2.16,0,1,1,5,Critical Risk (Spoofing/High Value)
DEL-10366,DRV-043,02-09-2026 09:27,20930,1.21,0,1,1,5,Critical Risk (Spoofing/High Value)
DEL-10535,DRV-050,02-09-2026 10:06,19746,31.8,1,0,1,4,Critical Risk (Spoofing/High Value)
DEL-10460,DRV-001,02-09-2026 09:16,11386,4.2,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10649,DRV-001,02-09-2026 09:58,20434,2.67,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10430,DRV-002,02-09-2026 09:22,18576,20.35,1,1,0,3,Critical Risk (Spoofing/High Value)
DEL-10066,DRV-003,02-09-2026 08:41,7383,3.65,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10198,DRV-003,02-09-2026 08:54,10473,1.37,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10591,DRV-003,02-09-2026 09:46,8122,1.11,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10698,DRV-004,02-09-2026 09:11,5723,4.63,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10394,DRV-005,02-09-2026 08:52,15968,2.63,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10628,DRV-005,02-09-2026 09:23,18730,4.53,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10279,DRV-006,02-09-2026 08:33,1423,4.31,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10609,DRV-007,02-09-2026 09:57,6074,3.73,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10848,DRV-007,02-09-2026 10:55,20579,19.36,1,1,0,3,Critical Risk (Spoofing/High Value)
DEL-10517,DRV-009,02-09-2026 09:42,10391,1.35,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10994,DRV-009,02-09-2026 11:18,615,1.04,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10856,DRV-011,02-09-2026 10:52,8832,2.8,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10432,DRV-012,02-09-2026 08:36,3656,1.98,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10584,DRV-012,02-09-2026 08:55,20066,4.67,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10272,DRV-013,02-09-2026 08:56,19191,4.13,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10853,DRV-013,02-09-2026 11:29,24700,4.24,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10311,DRV-014,02-09-2026 08:47,9857,1.81,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10074,DRV-017,02-09-2026 08:12,9198,3.42,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10575,DRV-017,02-09-2026 08:57,2957,1.79,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10604,DRV-017,02-09-2026 09:01,23213,2.01,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10654,DRV-017,02-09-2026 09:29,21847,31.55,1,1,0,3,Critical Risk (Spoofing/High Value)
DEL-10769,DRV-017,02-09-2026 09:39,6442,4.48,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10383,DRV-019,02-09-2026 09:19,7736,2.88,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10357,DRV-021,02-09-2026 09:15,15562,3.18,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10290,DRV-023,02-09-2026 08:57,11798,4.07,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10639,DRV-024,02-09-2026 10:14,17384,2.23,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10826,DRV-024,02-09-2026 10:45,509,5.05,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10621,DRV-027,02-09-2026 08:55,19824,4.37,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10194,DRV-030,02-09-2026 08:47,22531,4.25,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10204,DRV-030,02-09-2026 09:00,7450,1.09,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10384,DRV-030,02-09-2026 09:05,20348,3.81,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10592,DRV-031,02-09-2026 09:20,20623,1.98,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10701,DRV-032,02-09-2026 10:01,13976,1.27,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10505,DRV-033,02-09-2026 09:09,22759,4.87,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10562,DRV-034,02-09-2026 09:34,12705,3.28,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10324,DRV-036,02-09-2026 09:47,20980,30.43,1,1,0,3,Critical Risk (Spoofing/High Value)
DEL-10480,DRV-036,02-09-2026 10:23,18845,1.98,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10682,DRV-036,02-09-2026 10:36,23498,3.79,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10465,DRV-037,02-09-2026 09:18,18379,4.79,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10965,DRV-037,02-09-2026 11:38,10736,2.82,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10557,DRV-038,02-09-2026 08:51,6903,1.59,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10835,DRV-041,02-09-2026 11:15,7721,4.19,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10424,DRV-042,02-09-2026 10:07,11561,4.86,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10697,DRV-042,02-09-2026 10:53,5965,3.81,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10223,DRV-043,02-09-2026 08:57,14358,4.87,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10378,DRV-043,02-09-2026 09:29,5107,4.63,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10397,DRV-043,02-09-2026 09:31,4857,1.48,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10508,DRV-044,02-09-2026 09:51,5158,3.55,0,0,1,3,Critical Risk (Spoofing/High Value)
DEL-10676,DRV-044,02-09-2026 10:44,11730,4.02,0,0,1,3,Critical Risk (Spoofing/High Value)
