Delivery_ID,Driver_ID,Timestamp,Order_Value_INR,OBD_Status,Customer_Claim_Filed,GPS_Distance_KM,Odometer_Distance_KM
DEL-10009,DRV-040,2026-09-02 08:02:00,12350,N/A,Yes,17.82,18.5
DEL-10149,DRV-044,2026-09-02 08:03:00,19382,Accepted,Yes,16.61,17.09
DEL-10047,DRV-047,2026-09-02 08:03:00,18711,N/A,No,19.91,20.23
DEL-10004,DRV-046,2026-09-02 08:04:00,18356,Refused,Yes,13.35,13.72
DEL-10018,DRV-016,2026-09-02 08:04:00,18161,Refused,No,15.15,15.85
DEL-10038,DRV-031,2026-09-02 08:04:00,6739,Accepted,Yes,16.34,16.93
DEL-10177,DRV-024,2026-09-02 08:05:00,8501,N/A,No,9.18,9.48
DEL-10046,DRV-017,2026-09-02 08:05:00,15409,Refused,No,18.6,19.3
DEL-10006,DRV-010,2026-09-02 08:05:00,11529,Accepted,Yes,5.09,5.22
DEL-10082,DRV-020,2026-09-02 08:06:00,513,Refused,No,8.72,8.88
DEL-10042,DRV-012,2026-09-02 08:06:00,8685,Accepted,No,6.29,6.56
DEL-10052,DRV-027,2026-09-02 08:06:00,19021,N/A,No,13.49,14.13
DEL-10022,DRV-036,2026-09-02 08:06:00,876,N/A,Yes,17.35,18.0
DEL-10087,DRV-031,2026-09-02 08:06:00,2886,Refused,No,12.61,13.18
DEL-10189,DRV-047,2026-09-02 08:06:00,10170,Refused,No,3.5,3.56
DEL-10007,DRV-023,2026-09-02 08:06:00,20282,Refused,Yes,17.1,17.77
DEL-10029,DRV-037,2026-09-02 08:06:00,3306,N/A,No,18.99,19.8
DEL-10055,DRV-040,2026-09-02 08:06:00,3776,Accepted,Yes,19.97,20.57
DEL-10043,DRV-036,2026-09-02 08:07:00,21869,N/A,Yes,18.5,18.84
DEL-10015,DRV-050,2026-09-02 08:07:00,1551,Refused,No,2.06,2.1
DEL-10064,DRV-045,2026-09-02 08:07:00,18377,Accepted,No,18.17,18.78
DEL-10122,DRV-039,2026-09-02 08:08:00,9552,N/A,Yes,14.32,14.76
DEL-10003,DRV-003,2026-09-02 08:08:00,7664,Accepted,Yes,1.57,1.62
DEL-10033,DRV-043,2026-09-02 08:08:00,14855,N/A,No,13.35,13.55
DEL-10058,DRV-036,2026-09-02 08:08:00,22237,Accepted,Yes,16.2,16.52
DEL-10071,DRV-030,2026-09-02 08:08:00,7957,Accepted,Yes,7.64,7.92
DEL-10051,DRV-016,2026-09-02 08:08:00,19167,Accepted,Yes,8.67,8.97
DEL-10125,DRV-002,2026-09-02 08:08:00,7761,Refused,Yes,2.77,2.83
DEL-10078,DRV-005,2026-09-02 08:09:00,11319,N/A,No,19.03,19.73
DEL-10130,DRV-031,2026-09-02 08:09:00,19819,N/A,No,6.25,6.56
DEL-10001,DRV-041,2026-09-02 08:09:00,24799,Refused,Yes,3.12,3.18
DEL-10061,DRV-017,2026-09-02 08:09:00,2164,Accepted,No,18.2,18.99
DEL-10056,DRV-009,2026-09-02 08:09:00,2754,Accepted,No,18.73,19.13
DEL-10027,DRV-050,2026-09-02 08:10:00,518,N/A,No,18.53,19.08
DEL-10057,DRV-029,2026-09-02 08:10:00,23843,Refused,Yes,16.84,17.46
DEL-10178,DRV-012,2026-09-02 08:10:00,3087,N/A,No,4.23,4.38
DEL-10054,DRV-043,2026-09-02 08:11:00,15482,Refused,Yes,13.26,13.4
DEL-10005,DRV-018,2026-09-02 08:11:00,712,Accepted,No,16.38,16.77
DEL-10040,DRV-042,2026-09-02 08:11:00,13693,N/A,No,2.87,2.99
DEL-10069,DRV-022,2026-09-02 08:11:00,13991,N/A,Yes,15.87,16.2
DEL-10034,DRV-015,2026-09-02 08:11:00,1189,N/A,Yes,2.22,2.29
DEL-10011,DRV-025,2026-09-02 08:11:00,21330,Refused,Yes,6.28,6.44
DEL-10019,DRV-026,2026-09-02 08:11:00,5032,N/A,No,7.88,7.99
DEL-10017,DRV-032,2026-09-02 08:11:00,21564,Refused,Yes,8.52,8.7
DEL-10002,DRV-048,2026-09-02 08:11:00,24770,N/A,Yes,2.95,3.05
DEL-10012,DRV-014,2026-09-02 08:11:00,23497,N/A,Yes,13.73,14.2
DEL-10063,DRV-029,2026-09-02 08:12:00,14514,N/A,Yes,11.48,11.65
DEL-10076,DRV-037,2026-09-02 08:12:00,1954,N/A,No,4.61,4.66
DEL-10074,DRV-017,2026-09-02 08:12:00,9198,Accepted,Yes,4.39,4.54
DEL-10080,DRV-021,2026-09-02 08:12:00,10188,N/A,Yes,8.65,8.8
DEL-10041,DRV-007,2026-09-02 08:12:00,6732,N/A,No,5.72,5.81
DEL-10008,DRV-035,2026-09-02 08:12:00,12903,Accepted,No,3.37,3.52
DEL-10244,DRV-034,2026-09-02 08:13:00,10667,N/A,No,2.49,2.54
DEL-10106,DRV-006,2026-09-02 08:13:00,18175,Accepted,No,9.94,10.13
DEL-10257,DRV-012,2026-09-02 08:13:00,23687,Refused,No,1.74,1.79
DEL-10026,DRV-033,2026-09-02 08:13:00,5508,Refused,Yes,12.57,12.97
DEL-10035,DRV-001,2026-09-02 08:13:00,21179,Accepted,Yes,2.35,2.38
DEL-10070,DRV-045,2026-09-02 08:13:00,1768,Refused,Yes,3.05,3.1
DEL-10127,DRV-048,2026-09-02 08:13:00,12028,N/A,No,11.46,11.7
DEL-10025,DRV-049,2026-09-02 08:13:00,3986,N/A,No,4.39,4.58
DEL-10021,DRV-028,2026-09-02 08:14:00,13108,Refused,No,12.33,12.71
DEL-10278,DRV-027,2026-09-02 08:14:00,16847,Refused,Yes,2.01,2.06
DEL-10092,DRV-029,2026-09-02 08:14:00,24069,N/A,No,12.64,13.19
DEL-10083,DRV-038,2026-09-02 08:14:00,11059,Refused,No,12.53,12.88
DEL-10048,DRV-019,2026-09-02 08:14:00,2416,N/A,Yes,5.14,5.35
DEL-10060,DRV-046,2026-09-02 08:14:00,23027,N/A,No,7.51,7.74
DEL-10068,DRV-016,2026-09-02 08:14:00,6301,Refused,Yes,17.43,17.73
DEL-10139,DRV-040,2026-09-02 08:15:00,24751,Accepted,Yes,2.14,2.78
DEL-10013,DRV-011,2026-09-02 08:15:00,8521,Accepted,No,11.15,11.43
DEL-10020,DRV-004,2026-09-02 08:15:00,5508,N/A,Yes,17.36,18.08
DEL-10023,DRV-035,2026-09-02 08:15:00,21503,Refused,Yes,15.27,15.6
DEL-10028,DRV-008,2026-09-02 08:15:00,10576,Accepted,Yes,18.65,19.02
DEL-10108,DRV-013,2026-09-02 08:15:00,22606,Refused,Yes,16.95,17.21
DEL-10037,DRV-032,2026-09-02 08:15:00,4835,N/A,No,5.07,5.17
DEL-10065,DRV-010,2026-09-02 08:16:00,1870,Refused,No,9.17,9.59
DEL-10104,DRV-030,2026-09-02 08:16:00,9024,Refused,No,4.45,5.47
DEL-10088,DRV-037,2026-09-02 08:16:00,23318,Refused,No,4.69,4.81
DEL-10039,DRV-023,2026-09-02 08:16:00,15803,N/A,Yes,9.05,9.38
DEL-10014,DRV-041,2026-09-02 08:17:00,7696,N/A,No,14.08,14.7
