Delivery_ID,Driver_ID,Timestamp,Order_Value_INR,Distance_Variance_Pct,Flag_Distance_Tampering,Flag_High_Value_Leakage,Flag_GPS_Spoofing,Total_Risk_Score,Risk_Category
DEL-10824,DRV-013,"2026-09-02 11:27:00",17478,1.11,0,1,1,5,"Critical Risk (Spoofing/High Value)"
DEL-10558,DRV-027,"2026-09-02 08:50:00",18245,4.83,0,1,1,5,"Critical Risk (Spoofing/High Value)"
DEL-10023,DRV-035,"2026-09-02 08:15:00",21503,2.16,0,1,1,5,"Critical Risk (Spoofing/High Value)"
DEL-10366,DRV-043,"2026-09-02 09:27:00",20930,1.21,0,1,1,5,"Critical Risk (Spoofing/High Value)"
DEL-10535,DRV-050,"2026-09-02 10:06:00",19746,31.8,1,0,1,4,"Critical Risk (Spoofing/High Value)"
DEL-10460,DRV-001,"2026-09-02 09:16:00",11386,4.2,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10649,DRV-001,"2026-09-02 09:58:00",20434,2.67,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10430,DRV-002,"2026-09-02 09:22:00",18576,20.35,1,1,0,3,"Critical Risk (Spoofing/High Value)"
DEL-10066,DRV-003,"2026-09-02 08:41:00",7383,3.65,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10198,DRV-003,"2026-09-02 08:54:00",10473,1.37,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10591,DRV-003,"2026-09-02 09:46:00",8122,1.11,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10698,DRV-004,"2026-09-02 09:11:00",5723,4.63,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10394,DRV-005,"2026-09-02 08:52:00",15968,2.63,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10628,DRV-005,"2026-09-02 09:23:00",18730,4.53,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10279,DRV-006,"2026-09-02 08:33:00",1423,4.31,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10609,DRV-007,"2026-09-02 09:57:00",6074,3.73,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10848,DRV-007,"2026-09-02 10:55:00",20579,19.36,1,1,0,3,"Critical Risk (Spoofing/High Value)"
DEL-10517,DRV-009,"2026-09-02 09:42:00",10391,1.35,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10994,DRV-009,"2026-09-02 11:18:00",615,1.04,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10856,DRV-011,"2026-09-02 10:52:00",8832,2.8,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10432,DRV-012,"2026-09-02 08:36:00",3656,1.98,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10584,DRV-012,"2026-09-02 08:55:00",20066,4.67,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10272,DRV-013,"2026-09-02 08:56:00",19191,4.13,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10853,DRV-013,"2026-09-02 11:29:00",24700,4.24,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10311,DRV-014,"2026-09-02 08:47:00",9857,1.81,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10074,DRV-017,"2026-09-02 08:12:00",9198,3.42,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10575,DRV-017,"2026-09-02 08:57:00",2957,1.79,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10604,DRV-017,"2026-09-02 09:01:00",23213,2.01,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10654,DRV-017,"2026-09-02 09:29:00",21847,31.55,1,1,0,3,"Critical Risk (Spoofing/High Value)"
DEL-10769,DRV-017,"2026-09-02 09:39:00",6442,4.48,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10383,DRV-019,"2026-09-02 09:19:00",7736,2.88,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10357,DRV-021,"2026-09-02 09:15:00",15562,3.18,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10290,DRV-023,"2026-09-02 08:57:00",11798,4.07,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10639,DRV-024,"2026-09-02 10:14:00",17384,2.23,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10826,DRV-024,"2026-09-02 10:45:00",509,5.05,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10621,DRV-027,"2026-09-02 08:55:00",19824,4.37,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10194,DRV-030,"2026-09-02 08:47:00",22531,4.25,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10204,DRV-030,"2026-09-02 09:00:00",7450,1.09,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10384,DRV-030,"2026-09-02 09:05:00",20348,3.81,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10592,DRV-031,"2026-09-02 09:20:00",20623,1.98,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10701,DRV-032,"2026-09-02 10:01:00",13976,1.27,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10505,DRV-033,"2026-09-02 09:09:00",22759,4.87,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10562,DRV-034,"2026-09-02 09:34:00",12705,3.28,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10324,DRV-036,"2026-09-02 09:47:00",20980,30.43,1,1,0,3,"Critical Risk (Spoofing/High Value)"
DEL-10480,DRV-036,"2026-09-02 10:23:00",18845,1.98,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10682,DRV-036,"2026-09-02 10:36:00",23498,3.79,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10465,DRV-037,"2026-09-02 09:18:00",18379,4.79,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10965,DRV-037,"2026-09-02 11:38:00",10736,2.82,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10557,DRV-038,"2026-09-02 08:51:00",6903,1.59,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10835,DRV-041,"2026-09-02 11:15:00",7721,4.19,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10424,DRV-042,"2026-09-02 10:07:00",11561,4.86,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10697,DRV-042,"2026-09-02 10:53:00",5965,3.81,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10223,DRV-043,"2026-09-02 08:57:00",14358,4.87,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10378,DRV-043,"2026-09-02 09:29:00",5107,4.63,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10397,DRV-043,"2026-09-02 09:31:00",4857,1.48,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10508,DRV-044,"2026-09-02 09:51:00",5158,3.55,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10676,DRV-044,"2026-09-02 10:44:00",11730,4.02,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10620,DRV-045,"2026-09-02 09:52:00",3308,4.24,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10263,DRV-046,"2026-09-02 08:41:00",10644,3.56,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10189,DRV-047,"2026-09-02 08:06:00",10170,1.71,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10094,DRV-049,"2026-09-02 08:54:00",21394,3.51,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10670,DRV-049,"2026-09-02 10:24:00",4740,3.54,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10027,DRV-050,"2026-09-02 08:10:00",518,2.97,0,0,1,3,"Critical Risk (Spoofing/High Value)"
DEL-10615,DRV-002,"2026-09-02 10:06:00",21412,2.84,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10169,DRV-003,"2026-09-02 08:52:00",19839,4.41,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10393,DRV-003,"2026-09-02 09:08:00",17618,4.75,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10881,DRV-006,"2026-09-02 10:06:00",19935,2.11,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10674,DRV-007,"2026-09-02 10:23:00",19789,1.21,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10812,DRV-008,"2026-09-02 10:04:00",18593,3.77,0,1,0,2,"High Risk (Financial Leakage)"
DEL-10507,DRV-009,"2026-09-02 09:40:00",23810,4.01,0,1,0,2,"High Risk (Financial Leakage)"
